Rank,Statistic,Year
11,0.214,2013
11,0.201,2018
9,0.222,2015
3,0.275,2007
2,0.287,2006
4,0.224,2019
13,0.195,2021
4,0.213,2022
16,0.205,2023
2,0.259,2004
11,0.217,2016
5,0.231,2012
14,0.195,2024
18,0.208,2014
7,0.237,2011
3,0.259,2008
10,0.206,2020
7,0.221,2017
4,0.265,2005
2,0.265,2009
4,0.26,2010
