Rank,Team,Statistic
1,Utah,0.29100000000000004
2,Okla City,0.289
3,Detroit,0.27699999999999997
4,Cleveland,0.27
5,New Orleans,0.27
6,Chicago,0.26899999999999996
7,Minnesota,0.266
8,Denver,0.266
9,Sacramento,0.265
10,Houston,0.262
11,Philadelphia,0.255
12,LA Lakers,0.254
13,Toronto,0.253
14,Milwaukee,0.253
15,Washington,0.251
16,Golden State,0.24600000000000002
17,Boston,0.24600000000000002
18,Memphis,0.245
19,New York,0.245
20,Phoenix,0.245
21,Portland,0.24100000000000002
22,Indiana,0.24
23,Dallas,0.239
24,Brooklyn,0.237
25,San Antonio,0.235
26,Miami,0.23199999999999998
27,Orlando,0.231
28,LA Clippers,0.226
29,Charlotte,0.221
30,Atlanta,0.214
